Name,RoutePath,FilterPath,TargetPath,Hosts,IP Restriction,SubFilters,AuthType,Entitlements,ClientName,vipAddress
wosAuthorRecommendForCuration,/api/curation/author/.*,null,/author,null,FALSE,null,NOAUTH,null,WOSAUTHORRECOMMEND,wosauthorrecommend.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
decorator,/api/decorator/.*,null,/decorator,null,FALSE,null,AUTH,null,DECORATOR,1pdecorator.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draexplorePreFilter,/api/dra-dd/explore.*,null,/explore/drugs,null,FALSE,null,AUTH,DRA_DRUG_DESIGN,DRADDEXPLORATION,draddexploration.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draexploreHealthCheckPreFilter,/api/dra-dd/healthcheck.*,null,/healthcheck,null,FALSE,null,AUTH:500,DRA_DRUG_DESIGN,DRADDEXPLORATION,draddexploration.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draTdExplorationFilter,/api/dra-td/exploration.*,null,/exploration,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRATDEXPLORATION,dratdexploration.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draTdHealthCheckPreFilter,/api/dra-td/healthcheck.*,null,/healthcheck,null,FALSE,null,AUTH:500,DRA_TARGET_DRUG,DRATDENTITY,dratdentity.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draTdScorePreFilter,/api/dra-td/score.*,null,/score,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRATDSCORE,dratdscore.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draTdEntityAggregationsPreFilter,/api/dra/analytics/aggregations.*,null,/aggregations,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRATDENTITY,dratdentity.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draTdEntityDecoratorPreFilter,/api/dra/analytics/entity/decorator.*,null,/entity/decorator,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRATDENTITY,dratdentity.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draanalyticsEvidenceListPreFilter,/api/dra/analytics/geneticEvidenceList.*,null,/geneticEvidenceList,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRAANALYTICS,draanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draTdEntityGraphicPreFilter,/api/dra/analytics/graphic.*,null,/graphic,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRATDENTITY,dratdentity.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draanalyticsOntologiesPreFilter,/api/dra/analytics/ontologies.*,null,/ontologies,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRAANALYTICS,draanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draTdEntityRelatedEntitiesPreFilter,/api/dra/analytics/related/entities.*,null,/related/entities,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRATDENTITY,dratdentity.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draanalyticsSearchPreFilter,/api/dra/analytics/search.*,null,/search,null,FALSE,null,AUTH,"DRA_DRUG_DESIGN||""DRA_TARGET_DRUG""",DRAANALYTICS,draanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draddapiPreFilter,/api/dra/dd/gui/services.*,null,/,null,FALSE,null,AUTH,DRA_DRUG_DESIGN,DRADDAPI,draddapi.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draentityPreFilter,/api/dra/entity.*,null,/entity/drug,null,FALSE,null,AUTH,null,DRADDENTITY,draddentity.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draExcelExportPreFilter,/api/dra/excel/export.*,null,/export,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRAEXCELEXPORT,draexcelexport.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
drasdfexportPreFilter,/api/dra/export/sdf,/api/dra/export/sdf,/export/sdf,null,FALSE,null,NOVALIDATE,null,DRASDFEXPORT,drasdfexport.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
drasearchHealthCheckPreFilter,/api/dra/healthcheck.*,null,/healthcheck,null,FALSE,null,AUTH:500,"DRA_DRUG_DESIGN||""DRA_TARGET_DRUG""",DRASEARCH,drasearch.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draanalyticsHealthCheckPreFilter,/api/dra/healthcheck.*,null,/healthcheck,null,FALSE,null,AUTH:500,"DRA_DRUG_DESIGN||""DRA_TARGET_DRUG""",DRAANALYTICS,draanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
drasearchPreFilter,/api/dra/search.*,null,/dra/search,null,FALSE,null,AUTH,"DRA_DRUG_DESIGN||""DRA_TARGET_DRUG""",DRASEARCH,drasearch.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
dratypeaheadPreFilter,/api/dra/suggest.*,null,/suggest,null,FALSE,null,AUTH,"DRA_DRUG_DESIGN||""DRA_TARGET_DRUG""",DRATYPEAHEAD,dratypeahead.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
dratdguiservicesPreFilter,/api/dra/td/gui/services.*,null,/,null,FALSE,null,AUTH,DRA_TARGET_DRUG,DRATDGUISERVICES,dratdguiservices.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
draftService,/api/drafts.*,null,/drafts,null,FALSE,null,AUTH,null,AUTHORING,1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
emailAuthPreFilter,/api/email.*,null,/email,null,FALSE,null,AUTH,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
emailPreFilter,/api/email/confirm.*,null,/email,null,FALSE,null,null,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
entitlements,/api/entitlements.*,null,/entitlements,null,FALSE,CORSHeadersFilter,AUTH,null,ENT,1PENTITLEMENTS.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
optionsPreFilter,/api/entitlements.*||/api/groups.*||/api/profile/user.*,null,/options_method,null,FALSE,null,null,null,null,null
optionsPreFilter,/api/entitlements.*||/api/groups.*||/api/profile/user.*,null,/options_method,null,FALSE,null,null,null,null,null
optionsPreFilter,/api/entitlements.*||/api/groups.*||/api/profile/user.*,null,/options_method,null,FALSE,null,null,null,null,null
errorObservabilityStatsPreFilter,/api/errorStats.*,null,/errorStats,null,FALSE,null,null,null,null,null
exampleService,/api/example_service.*,/api/example_service,/,null,FALSE,null,NOVALIDATE,null,EXAMPLE_SERVICE,1pexampleservice.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
experiment,/api/experiment.*,null,/experiment,null,FALSE,null,NOAUTH,null,EXP,1pexp.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
exportPreFilter,/api/export/.*,/api/export,/export,null,FALSE,null,NOVALIDATE,null,1PEXPORT,1pexport.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
configLandingPageHeaderPreFilter,/api/featureConfig.*,null,/featureConfig,null,FALSE,null,AUTH,null,CORTELLISCONFIGURATIONAPI,cortellisconfigurationapi.cortellis.produs.${archaius.deployment.environment}
wosauthorxformFeedback,/api/feedback.*,null,/feedback,null,FALSE,null,NOVALIDATE,null,WOSAUTHORXFORMPROD,wosauthorxform.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
cortellisLandingPageConfigPreFilter,/api/fetchLandingPageConfig.*,null,/fetchLandingPageConfig,null,FALSE,null,AUTH,null,CORTELLISSEARCHAPI,cortellissearchapi.cortellis.produs.${archaius.deployment.environment}
followService,/api/follow.*,null,/follow,null,FALSE,null,AUTH,null,FOLLOWING,1pfollow.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
linksGatewayPrefilter,/api/gateway.*,null,/gateway,null,FALSE,null,NOVALIDATE,null,LINKS-GATEWAY,1plinksgateway.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
cgiAlertsPreFilter,/api/generics/alerts.*,/api/generics,/,null,FALSE,null,AUTH,"CGI_ALERTS||""CGI_TST""",CGI_ALERTS,npalerts.newport.produs.${archaius.deployment.environment}
cgiApiPreFilter,/api/generics/api.*,/api/generics,/,null,FALSE,null,AUTH,"CGI_GLOBAL||""CGI_PREMIUM""||""CGI_SOURCING""||""CGI_TST""",CGI_API,npapi.newport.produs.${archaius.deployment.environment}
cgiExportPreFilter,/api/generics/export.*,/api/generics,/,null,FALSE,null,AUTH,"CGI_GLOBAL||""CGI_PREMIUM""||""CGI_SOURCING""||""CGI_TST""",CGI_EXPORT,npexport.newport.produs.${archaius.deployment.environment}
cgiAlertsInnerApiPreFilter,/api/generics/internal/api.*,/api/generics,/,null,FALSE,null,AUTH,CGI_TST,CGI_ALERTS,npalerts.newport.produs.${archaius.deployment.environment}
cgiTypeaheadPreFilter,/api/generics/suggest.*,null,/suggest,null,FALSE,null,AUTH,"CGI_GLOBAL||""CGI_PREMIUM""||""CGI_SOURCING""||""CGI_TST""",CGI_TYPEAHEAD,nptypeahead.newport.produs.${archaius.deployment.environment}
userDetailsFilter,/api/getUserDetails.*,null,/getUserDetails,null,FALSE,null,AUTH,null,CORTELLISCONFIGURATIONAPI,cortellisconfigurationapi.cortellis.produs.${archaius.deployment.environment}
groups,/api/groups.*,null,/groups,null,FALSE,CORSHeadersFilter,NOVALIDATE,null,1P_GROUPS,1pgroups.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
cortellisHeaderConfPreFilter,/api/headerConfig.*,null,/headerConfig,null,FALSE,null,AUTH,null,CORTELLISSEARCHAPI,cortellissearchapi.cortellis.produs.${archaius.deployment.environment}
igralertsPreFilter,/api/igr/alerts.*,/api/igr/alerts,/,null,FALSE,null,AUTH,CDDI_CDDI,IGRALERTS,IGRALERTS.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igrentityPreFilter,/api/igr/entity.*,null,/entity,null,FALSE,null,AUTH,CDDI_CDDI,IGRENTITY,IGRENTITY.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igrtableExportPreFilter,/api/igr/export.*,null,/export,null,FALSE,null,AUTH,CDDI_CDDI,IGRTABLE,IGRTABLE.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igroverviewFilterPreFilter,/api/igr/filter.*,null,/filter,null,FALSE,null,AUTH,CDDI_CDDI,IGROVERVIEW,IGROVERVIEW.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igrfiltersPreFilter,/api/igr/filters.*,null,/filters,null,FALSE,null,AUTH,CDDI_CDDI,IGRFILTERS,IGRFILTERS.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igroverviewPreFilter,/api/igr/overview.*,null,/overview,null,FALSE,null,AUTH,CDDI_CDDI,IGROVERVIEW,IGROVERVIEW.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igroverviewConfigPreFilter,/api/igr/overview/config.*,null,/config,null,FALSE,null,AUTH,CDDI_CDDI,IGROVERVIEW,IGROVERVIEW.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igrsearchPingPreFilter,/api/igr/overview/ping,null,/ping,null,FALSE,null,AUTH,CDDI_CDDI,IGROVERVIEW,IGROVERVIEW.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igrrelatedContentPreFilter,/api/igr/related-content.*,null,/related-content,null,FALSE,null,AUTH,CDDI_CDDI,IGRRELATEDCONTENT,IGRRELATEDCONTENT.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igroverviewSearchPreFilter,/api/igr/search.*,null,/search,null,FALSE,null,AUTH,CDDI_CDDI,IGROVERVIEW,IGROVERVIEW.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igrTypeaheadPreFilter,/api/igr/suggest.*,/api/igr/suggest,/suggest,null,FALSE,null,AUTH,CDDI_CDDI,IGRTYPEAHEAD,igrtypeahead.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
igrtablePreFilter,/api/igr/table.*,null,/table,null,FALSE,null,AUTH,CDDI_CDDI,IGRTABLE,IGRTABLE.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
iipEdgePreFilter,/api/iip/.*,null,/iip,null,FALSE,inCitesSessionService,NOVALIDATE,null,IIP_EDGE,iipedge.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
iipEdgeExportPdfPreFilter,/api/iipexport/.*,null,/iipexport,null,FALSE,inCitesSessionService,NOVALIDATE,null,IIP_EDGE_EXPORT_PDF,iipedgeexportpdf.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
invites,/api/invites.*,null,/invites,null,FALSE,null,NOVALIDATE,null,1P_GROUPS,1pgroups.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
ipaanalyticsPreFilter,/api/ipa/analytics.*,null,/analytics,null,FALSE,null,AUTH,IPA_TEST_SKU,IPAANALYTICS,ipaanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
ipaanalyticsHealthCheckPreFilter,/api/ipa/healthcheck.*,/api/ipa/healthcheck,/analytics/hello,null,FALSE,null,AUTH:500,IPA_TEST_SKU,IPAANALYTICS,ipaanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
iparecommendPreFilter,/api/ipa/recommend/.*,null,/recommend,null,FALSE,null,AUTH,IPA_TEST_SKU,IPARECOMMEND,iparecommend.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
ipatypeaheadPreFilter,/api/ipa/suggest.*,null,/suggest,null,FALSE,null,AUTH,IPA_TEST_SKU,IPATYPEAHEAD,ipatypeahead.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
wosJcrJifPreFilter,/api/jcr/jif.*,null,/jif,null,FALSE,null,NOVALIDATE,null,WOSJCRJIF,wosjcrjif.wos.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
wosJcrJifAuthPreFilter,/api/jif.*,null,/jif,null,FALSE,jifSessionService,NOVALIDATE,null,WOSJCRJIF,wosjcrjif.wos.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
jprofPublicPrefilter,/api/jprof/public.*,/api/jprof/public,/journal-profile/public,null,FALSE,null,NOVALIDATE,null,journalprofile,journalprofile.scholarone.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
jprofRestrictedPrefilter,/api/jprof/restricted.*,/api/jprof/restricted,/journal-profile/restricted,null,FALSE,null,AUTH,null,journalprofile,journalprofile.scholarone.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
testLambda,/api/lambda/HelloWorld.*,null,/HelloWorld,null,FALSE,null,null,null,LAMBDA_HELLO,null
cortellisTabsPreFilter,/api/landing.*,null,/landing,null,FALSE,null,AUTH,null,CORTELLISSEARCHAPI,cortellissearchapi.cortellis.produs.${archaius.deployment.environment}
landingPageChartPreFilter,/api/landingPageChart.*,null,/landingPageChart,null,FALSE,null,AUTH,null,CORTELLISSEARCHAPI,cortellissearchapi.cortellis.produs.${archaius.deployment.environment}
landingPageHeaderConfigPreFilter,/api/landingPageHeaderConfig.*,null,/landingPageHeaderConfig,null,FALSE,null,AUTH,null,CORTELLISCONFIGURATIONAPI,cortellisconfigurationapi.cortellis.produs.${archaius.deployment.environment}
landingPageSearchFiltersPreFilter,/api/landingPageSearchFilters.*,null,/landingPageSearchFilters,null,FALSE,null,AUTH,null,CORTELLISSEARCHAPI,cortellissearchapi.cortellis.produs.${archaius.deployment.environment}
links,/api/links.*,null,/links,null,TRUE,null,NOVALIDATE,null,links,woslinks.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
links-entitlements,/api/links/entitlements.*,null,/entitlements,null,TRUE,null,NOVALIDATE,null,links-entitlements,1plinksentitlements.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
watchlistPreListsAuth,/api/lists/watchlist.*,null,/lists/watchlist,null,FALSE,null,AUTH,null,WATCH,1pcitations.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
mapResolverPreFilter,/api/mapResolver.*,null,/mapResolver,null,FALSE,null,null,null,null,null
mapsResolverPreFilter,/api/mapsResolver.*,null,/mapsResolver,null,FALSE,null,null,null,null,null
mediaServiceNoValidate,/api/media.*,/api/media,/media,null,FALSE,null,NOVALIDATE,null,MEDIA,1pmedia.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
oauthMergePreFilter,/api/merge.*,/api/merge,/authorize/merge,null,FALSE,null,null,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
modelsPrefilter,/api/models.*,/api/models,/,null,TRUE,null,NOVALIDATE,null,1PMODELS,1pmodels.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
notify,/api/notify/.*,null,/notify,null,FALSE,null,AUTH,null,NOTIFY,1pnotify.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
oauthVerifyPreFilter,/api/oauth.*,/api/oauth,/authorize/verify,null,FALSE,null,null,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
postService,/api/posts.*,null,/posts,null,FALSE,null,AUTH,null,AUTHORING,1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
preferencesService,/api/preferences.*,null,/preferences,null,FALSE,null,NOAUTH,null,PREFERENCES,1ppreferences.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
profileAuthPreFilter,/api/profile/user.*,null,/profile/user,null,FALSE,CORSHeadersFilter,AUTH,null,PROFILES,1pprofiles.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
profileSearchPreFilter,/api/profilesearch.*,/api/profilesearch,/search,null,FALSE,null,AUTH,null,PROFILESEARCH,1pprofilesearch.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
recommendService,/api/recommend/.*,null,/recommend,null,FALSE,null,AUTH,null,RECOMMEND,1precommend.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
registrationPreFilter,/api/registration.*,null,/registration,null,FALSE,null,NOVALIDATE,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
registrationIpVerifyPreFilter,/api/registration/ip/verify/.*,null,/registration/ip/verify,null,FALSE,null,AUTH,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
reportService,/api/report.*,null,/report,null,FALSE,null,AUTH,null,AUTHORING,1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
wosauthorxformServiceProd,/api/researcher.*,null,/researcher,null,FALSE,null,AUTH,null,WOSAUTHORXFORMPROD,wosauthorxform.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
cortellisRetrieveDataPreFilterForGRCdata,/api/retrievegrcdata.*,null,/retrievegrcdata,null,FALSE,null,AUTH,null,CORTELLISRETRIEVEAPI,cortellisretrieveapi.cortellis.produs.${archaius.deployment.environment}
cortellisRetrieveDataPreFilterForIRdata,/api/retrieveirdata.*,null,/retrieveirdata,null,FALSE,null,AUTH,null,CORTELLISRETRIEVEAPI,cortellisretrieveapi.cortellis.produs.${archaius.deployment.environment}
